# pattern;frequency
;1289
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d4n2u;4
2d3d3n3n4d4n4n4n4n3u4d2u;128
2d3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u;12
2d3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u;1
2d3d3n4d;179
2d3d3n4d3u;14
2d3d3n4d3u3n4d;1
2d3d3n4d3u4d;7
2d3d3n4d3u4d3u4d3u4d4n4n;1
2d3d3n4d4n;70
2d3d3n4d4n3u;7
2d3d3n4d4n3u3n3n4d;1
2d3d3n4d4n3u4d;1
2d3d3n4d4n4n;24
2d3d3n4d4n4n3u;1
2d3d3n4d4n4n3u3n3n;1
2d3d3n4d4n4n4n;4
2d3d3n4d4n4n4n3u4d;1
2d3d3n4d4n5d;1
2d3d3n4d5d3u;1
2d3d3n5d;2
2d3d4d;82
2d3d4d2u3d;2
2d3d4d3u;14
2d3d4d3u3n;7
2d3d4d3u3n3n;2
2d3d4d3u4d;8
2d3d4d3u4d4n;1
2d3d4d4n;21
2d3d4d4n3u;2
2d3d4d4n3u3n;2
2d3d4d4n3u5d4u3u4d4n6d4u4n3u;1
2d3d4d4n4n;6
2d3d4d4n4n3u4d4n;1
2d3d4d4n4n3u4d4n3u;1
2d3d4d4n4n4n;1
2d3d4d4n4n4n5d5n4u4n4n;1
2d3d4d4n5d4u5d5n4u4n5d;1
2d3d4d5d;2
2d3d4d5d3u4d;1
2d3d4d5d4u;3
2d3d4d5d4u4n4n3u;1
2d3d4d5d4u5d4u;1
2d3d4d5d5n;2
2d3d4d5d6d;1
2d4d;1
2d4d3u;2
2d4d3u3n;11
2d4d3u3n3n;4
2d4d4n;1
2d4d4n4n;2
2d4d4n4n5d5n;1
2d4d4n5d4u;1
2d4d4n5d5n;1
3d;47
3d2u;3
3d2u2n3d3n3n4d4n4n4n3u4d2u;1
3d2u3d3n3n;1
3d2u3d3n3n4d4n4n4n3u4d2u;3
3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
3d3n;16
3d3n2u;2
3d3n2u3d3n3n4d4n4n4n3u4d2u;2
3d3n3n;30
3d3n3n2u3d;1
3d3n3n2u3d3n3n;3
3d3n3n2u3d3n3n3n4d4n;1
3d3n3n3n;252
3d3n3n3n2u3d;1
3d3n3n3n3n;9
3d3n3n3n3n3n3n;1
3d3n3n4d;5
3d3n3n4d3u;1
3d3n3n4d4n4n4n3u4d2u;11
3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
3d3n4d;1
3d3n4d3u2u3d;1
3d3n4d4n3u4d;1
3d4d;7
3d4d3u3n;1
3d4d4n;2
4d3u3n3n;1
4d4n3u5d;2
